name,county,acres,start_date,contained_date,notes,year
Goose (Shu Complex),Shasta,"3,918",2009-08-03,2009-08-17,,2009
Cassel (Shu Complex),Shasta,"6,319",2009-08-03,2009-08-14,,2009
La Brea,Santa Barbara,"89,489",2009-08-08,2009-08-23,2 buildings destroyed,2009
Lockheed,Santa Cruz,"7,817",2009-08-12,2009-08-23,13 structures destroyed,2009
Coffin,Trinity,"1,300",2009-08-12,2009-08-15,,2009
Corral,San Joaquin,"12,200",2009-08-13,2009-08-16,,2009
Yuba,Yuba,"3,891",2009-08-14,2009-08-24,,2009
Red Rock,Siskiyou,"1,364",2009-08-21,2009-09-04,,2009
Morris,Los Angeles,"2,168",2009-08-25,2009-09-03,,2009
Bryson,Monterey,"3,383",2009-08-25,2009-08-29,,2009
Station,Los Angeles,"160,577",2009-08-26,2009-10-16,"209 Structures destroyed, 2 firefighters killed.",2009
Big Meadows,Mariposa,"7,425",2009-08-26,2009-09-10,,2009
Gloria,Monterey,"6,437",2009-08-27,2009-09-01,,2009
Cottonwood,Riverside,"2,409",2009-08-27,2009-08-31,,2009
Pacheco,Santa Clara,"1,600",2009-08-29,2009-08-30,,2009
Oak Glen III,San Bernardino,"1,159",2009-08-30,2009-09-08,,2009
Oasis,Lake,"1,500",2009-09-07,2009-09-12,,2009
Guiberson,Ventura,"17,500",2009-09-22,2009-10-01,1 building destroyed,2009
Six,Yolo,"1,235",2009-10-01,2009-10-01,,2009
Sheep,San Bernardino,"7,128",2009-10-03,2009-10-10,,2009
Mill Creek #4,Humboldt,"2,750",2009-10-07,2009-10-17,,2009
Cotton,San Luis Obispo,"2,044",2010-05-15,2010-05-17,,2010
McKinley,Riverside,"1,000",2010-05-20,2010-05-22,,2010
Robinson,Merced,"1,600",2010-06-11,2010-06-12,,2010
Aliso,San Diego,"3,225",2010-07-13,2010-07-13,,2010
Sand 2,Kern,"1,254",2010-07-16,2010-07-22,,2010
Indian,Kern,"1,822",2010-07-18,2010-07-24,,2010
Mono,Mono,"1,205",2010-07-26,2010-07-29,,2010
Bull,Kern,"16,442",2010-07-26,2010-08-10,14 Structures destroyed,2010
McDonald,Lassen,"9,408",2010-07-27,2010-08-10,,2010
West,Kern,"1,650",2010-07-27,2010-08-06,50 structures destroyed,2010
