name,start_date,county,acres,containment,year
Grant Fire,12/30/2013,Santa Clara,40,100%,2013
Refuse Fire,12/30/2013,Mendocino,15,100%,2013
Pfeiffer Fire,12/15/2013,Monterey,917,100%,2013
Happy Camp Fire,12/9/2013,Ventura,44,100%,2013
Dam Fire,11/23/2013,Lake,23,100%,2013
Bruner Fire,11/23/2013,Lake,50,100%,2013
Retek Fire,11/22/2013,Mendocino,82,100%,2013
McCabe Fire,11/21/2013,Sonoma,"3,505",100%,2013
Silverado Fire,11/21/2013,Napa,190,100%,2013
Wheeler Fire,11/14/2013,Ventura,64,100%,2013
Cantwell Fire,11/8/2013,Lake,120,100%,2013
Toro Fire,11/8/2013,San Luis Obispo,51,100%,2013
Dersch Fire,11/7/2013,Shasta,33,100%,2013
Capay Fire,11/4/2013,Yolo,163,100%,2013
Baker Fire,10/6/2013,Orange,40,100%,2013
DeLuz Fire,10/5/2013,San Diego,"2,236",100%,2013
Summit Fire,10/4/2013,Butte,305,100%,2013
Crane Fire,10/4/2013,Sonoma,159,100%,2013
Highland Fire,10/4/2013,Alameda,150,100%,2013
Putah Fire,10/3/2013,Napa,376,100%,2013
Highland Fire,9/28/2013,Mendocino,98,100%,2013
Valley Fire,9/26/2013,San Diego,40,100%,2013
Sierra Fire,9/24/2013,San Bernardino,200,100%,2013
Creek Fire,9/23/2013,San Luis Obispo,94,100%,2013
Madre Fire,9/23/2013,Los Angeles,268,100%,2013
Lakeshore Fire,9/15/2013,Lake,30,100%,2013
Tehama Fire,9/15/2013,Tehama,75,100%,2013
Liveoak Fire,9/11/2013,San Bernardino,73,100%,2013
Lyon Fire,9/9/2013,San Diego,263,100%,2013
Clover Fire,9/9/2013,Shasta,"8,073",100%,2013
Morgan Fire,9/8/2013,Contra Costa,"3,111",100%,2013
Angora Fire,9/8/2013,Tulare,134,100%,2013
Rail Fire,9/7/2013,Modoc,68,100%,2013
Chestnut Fire,9/7/2013,San Mateo,41,100%,2013
Davis Creek Complex,9/5/2013,Modoc,97,100%,2013
Centerville Fire,8/31/2013,Butte,80,100%,2013
Tyler Fire,8/31/2013,Nevada,52,100%,2013
Little Fire,8/24/2013,San Bernardino,97,100%,2013
Empire Fire,8/24/2013,El Dorado,38,100%,2013
Fish Fire,8/24/2013,Tulare,"2,060",100%,2013
Deer Fire,8/23/2013,Tehama,"11,429",100%,2013
Gobblers Fire,8/20/2013,San Bernardino,413,100%,2013
Burney Lightning Series (Warner Fire),8/19/2013,Shasta,196,100%,2013
Shirley Fire,8/18/2013,Kern,794,100%,2013
Plumas Lightning Complex (Hough),8/18/2013,Plumas,513,100%,2013
Cleghorn Fire,8/17/2013,San Bernardino,110,100%,2013
Rim Fire,8/17/2013,Tuolumne,"257,314",100%,2013
Bridges Fire,8/17/2013,Calaveras,46,100%,2013
Double Fire,8/16/2013,Lake,70,100%,2013
Swedes Fire,8/16/2013,Butte,"2,462",100%,2013
Union Fire,8/16/2013,El Dorado,116,100%,2013
Pierce Fire,8/16/2013,Riverside,40,100%,2013
Cottonwood Fire,8/15/2013,Siskiyou,50,100%,2013
Cloverdale Fire,8/14/2013,Shasta,27,100%,2013
American Fire,8/10/2013,Placer,"27,440",100%,2013
Corral Complex,8/10/2013,Humboldt,"12,503",100%,2013
Bee Fire,8/9/2013,Los Angeles,100,100%,2013
Coyote Fire,8/9/2013,Lassen,97,100%,2013
Sharp Fire,8/8/2013,San Bernardino,243,100%,2013
Silver Fire,8/7/2013,Riverside,"20,292",100%,2013
Indian Fire,8/7/2013,Lake,38,100%,2013
Tram Fire,8/6/2013,Riverside,60,100%,2013
Falls Fire,8/5/2013,Riverside,"1,383",100%,2013
Power Fire,8/4/2013,Tuolumne,"1,070",100%,2013
Honey Fire,8/4/2013,Shasta,34,100%,2013
Relay Fire,8/4/2013,Riverside,60,100%,2013
Orleans Complex,8/3/2013,Humboldt,,100%,2013
Branch Fire,8/1/2013,Butte,92,100%,2013
Salmon River Complex,7/31/2013,Siskiyou,"14,754",100%,2013
Trout Fire,7/31/2013,Siskiyou,40,100%,2013
Flume Fire,7/28/2013,San Diego,25,100%,2013
Lakeville Fire,7/26/2013,Sonoma,158,100%,2013
Silverwood Fire,7/25/2013,San Bernardino,75,100%,2013
Pratt Fire,7/23/2013,Mendocino,45,100%,2013
Water Fire,7/23/2013,Kern,612,100%,2013
Aspen Fire,7/22/2013,Fresno,"22,992",100%,2013
Chuckwagon Fire,7/22/2013,Calaveras,31,100%,2013
Gilman Fire,7/19/2013,Riverside,15,100%,2013
Heacock Fire,7/19/2013,Riverside,40,100%,2013
50 Fire,7/19/2013,El Dorado and Sacramento,163,100%,2013
Paskenta Fire,7/19/2013,Tehama,195,100%,2013
Rancho Fire,7/19/2013,Kern,712,100%,2013
Tassajara Fire,7/17/2013,Monterey,213,100%,2013
Redlands Fire,7/16/2013,Riverside,150,100%,2013
Mountain Fire,7/15/2013,Riverside,"27,531",100%,2013
Diablo Fire,7/12/2013,Stanislaus,150,100%,2013
Uvas Fire,7/12/2013,Santa Clara,50,100%,2013
Fiddler Fire,7/9/2013,Shasta,43,100%,2013
Kyburz Fire,7/8/2013,El Dorado,572,100%,2013
McGanney Fire,7/8/2013,Yuba,73,100%,2013
Adelaida Fire,7/7/2013,San Luis Obispo,85,100%,2013
Fallon Fire,7/6/2013,Alameda,38,100%,2013
Chariot Fire,7/6/2013,San Diego,"7,055",100%,2013
Grant Fire,7/4/2013,Alameda,50,100%,2013
Vina Fire,7/4/2013,Tehama,200,100%,2013
Fox Fire (formally 3-7 Fire),7/3/2013,Modoc,502,100%,2013
Northern Region July Lightning,7/2/2013,,754,100%,2013
Concord Fire,7/1/2013,Contra Costa,274,100%,2013
Kirker Fire,7/1/2013,Contra Costa,492,100%,2013
Freeman Fire,6/29/2013,Monterey,105,100%,2013
Mills Fire,6/28/2013,San Bernardino,534,100%,2013
George Fire,6/25/2013,Fresno,150,100%,2013
Mount Fire,6/20/2013,Lake,25,100%,2013
California Fire,6/18/2013,Solano,124,100%,2013
Sierra Fire,6/17/2013,Fresno,46,100%,2013
Rolling Fire,6/16/2013,Madera,482,100%,2013
Carstens Fire,6/16/2013,Mariposa,"1,708",100%,2013
Palmyrita Fire,6/14/2013,Riverside,40,100%,2013
Michelle Fire,6/13/2013,Fresno,35,100%,2013
Clinton Fire,6/13/2013,Fresno,108,100%,2013
PFE Fire,6/13/2013,Placer,237,100%,2013
Roadrunner Fire,6/12/2013,Amador,96,100%,2013
Revis Fire,6/12/2013,Madera,75,100%,2013
Daves Fire,6/12/2013,Glenn,226,100%,2013
Northern California Lightning Activity,6/9/2013,,60,100%,2013
Sonoma-Lake-Napa Unit Lightning Fires,6/9/2013,"Sonoma, Solano, Lake and Colusa",28,100%,2013
Hathaway Fire,6/9/2013,Riverside,,100%,2013
Viper Fire,6/8/2013,Riverside,42,100%,2013
Vasco Fire,6/8/2013,Alameda,240,100%,2013
Lake Fire,6/5/2013,Lake,30,100%,2013
152 Fire,6/4/2013,Merced,124,100%,2013
Lone Fire,6/3/2013,Butte,298,100%,2013
Murphy Fire,6/2/2013,Tuolumne,100,100%,2013
Branch Fire,6/1/2013,San Luis Obispo,500,100%,2013
Powerhouse Fire,5/30/2013,Los Angeles,"30,274",100%,2013
Shelton Fire,5/30/2013,San Joaquin,303,100%,2013
Olive Fire,5/28/2013,Santa Barbara,170,100%,2013
Magic Fire,5/28/2013,Los Angeles,149,100%,2013
White Fire,5/27/2013,Santa Barbara,"1,984",100%,2013
General Fire,5/26/2013,San Diego,"1,271",100%,2013
Homestead Fire,5/25/2013,San Luis Obispo,50,100%,2013
Smiley Fire,5/25/2013,Riverside,124,100%,2013
San Felipe Fire,5/23/2013,San Diego,"2,781",100%,2013
Border Fire,5/22/2013,San Diego,100,100%,2013
Neal Fire,5/21/2013,Butte,150,100%,2013
Water Fire,5/21/2013,Riverside,90,100%,2013
Cottontail Fire,5/20/2013,San Luis Obispo,35,100%,2013
Cherry Fire,5/20/2013,Riverside,25,100%,2013
Lilly 2 Fire,5/19/2013,Madera,91,100%,2013
Lake Fire,5/17/2013,Los Angeles,712,100%,2013
54 Fire,5/16/2013,Riverside,40,100%,2013
Grand Fire,5/15/2013,Kern and Ventura,"4,346",100%,2013
Lytle Fire,5/13/2013,San Bernardino,75,100%,2013
Ranger Fire,5/12/2013,Madera,15,100%,2013
Gorgonio Fire,5/4/2013,Riverside,510,100%,2013
Tres Pinos Fire,5/3/2013,San Benito,354,100%,2013
Springs Fire,5/2/2013,Ventura,"24,251",100%,2013
306 Fire,5/1/2013,Glenn,217,100%,2013
Summit Fire,5/1/2013,Riverside,"3,166",100%,2013
Panther Fire,5/1/2013,Tehama,"6,965",100%,2013
Cedar Fire,4/30/2013,Butte,72,100%,2013
Yellow Fire,4/30/2013,Sonoma,125,100%,2013
Silverado Fire,4/30/2013,Napa,75,100%,2013
Gold Fire,4/30/2013,Madera,274,100%,2013
Fawnskin Fire,4/20/2013,San Bernardino,30,100%,2013
Butte Fire,4/9/2013,Fresno,80,100%,2013
Jurupa Fire,2/28/2013,Riverside,311,100%,2013
River Fire,2/24/2013,Inyo,406,100%,2013
Becks Fire,1/22/2013,Lake,296,100%,2013
Bane Fire,10/16/2014,San Bernardino,48,100%,2014
Applegate Fire,10/8/2014,Placer,459,100%,2014
Dog Rock Fire,10/7/2014,Mariposa,311,100%,2014
Foothill Fire,9/29/2014,Ventura,25,100%,2014
Cascade Fire,9/25/2014,El Dorado,20,100%,2014
Nelson Fire,9/21/2014,Mendocino,62,100%,2014
June Fire,9/16/2014,Inyo,65,100%,2014
Boles Fire,9/15/2014,Siskiyou,516,100%,2014
Courtney Fire,9/14/2014,Madera,320,100%,2014
Irene Fire,9/14/2014,El Dorado,94,100%,2014
King Fire,9/13/2014,El Dorado,"97,717",100%,2014
Black Fire,9/13/2014,Mendocino,403,100%,2014
Dog Bar Fire,9/13/2014,Nevada,247,100%,2014
Bald Hill 3 Fire,9/12/2014,Humboldt,210,100%,2014
Silverado Fire,9/12/2014,Orange,968,100%,2014
Stage Coach Fire,9/11/2014,Napa,27,100%,2014
Gulch Fire,9/9/2014,Shasta,"1,375",100%,2014
Montgomery Fire,9/7/2014,Mariposa,79,100%,2014
Bridge Fire,9/5/2014,Mariposa,300,100%,2014
Jackson Fire,9/4/2014,Tuolumne,70,100%,2014
Saratoga Fire,9/3/2014,Lake,100,100%,2014
Interstate Fire,9/1/2014,Riverside,100,100%,2014
Leopard Fire,8/29/2014,Shasta,25,100%,2014
Casa Fire,8/28/2014,Santa Clara,80,100%,2014
Pines Fire,8/26/2014,Madera,10,100%,2014
Oregon Fire,8/24/2014,Trinity,580,100%,2014
South Napa Earthquake,8/23/2014,Napa,6,100%,2014
Way Fire,8/18/2014,Kern,"4,045",100%,2014
Junction Fire,8/18/2014,Madera,612,100%,2014
Boca Fire,8/18/2014,Nevada,84,100%,2014
Tecolote Fire,8/17/2014,Los Angeles,274,100%,2014
Border Fire,8/16/2014,San Diego,20,100%,2014
Meadow Fire,8/15/2014,Mariposa,"4,772",100%,2014
Shoemaker Fire,8/14/2014,Los Angeles,190,100%,2014
Little Fire,8/12/2014,Modoc,101,100%,2014
Happy Camp Complex,8/11/2014,Siskiyou,,100%,2014
July Complex,8/2/2014,Siskiyou,"50,042",100%,2014
McClellan Fire,8/1/2014,Humboldt,37,100%,2014
Eiler Fire,7/31/2014,Shasta,"32,416",100%,2014
Little Deer Fire,7/31/2014,Siskiyou,"5,503",100%,2014
Oregon Gulch Fire (part of the Beaver Complex),7/30/2014,Siskiyou,"35,302",100%,2014
Coffee Fire,7/30/2014,Shasta,"6,258",100%,2014
Bald Fire,7/30/2014,Shasta,"39,736",100%,2014
Day Fire,7/30/2014,Modoc,"13,153",100%,2014
Lodge Lightning Complex,7/29/2014,Mendocino,"12,536",100%,2014
Beaver Fire,7/29/2014,Siskiyou,"32,496",100%,2014
Siskiyou County Lightning Fires,7/29/2014,Siskiyou,30,100%,2014
Web Fire,7/28/2014,Butte,389,100%,2014
French Fire,7/27/2014,Madera,"13,838",100%,2014
El Portal Fire,7/26/2014,Mariposa,"4,689",100%,2014
Sand Fire,7/25/2014,Amador and El Dorado,"4,240",100%,2014
Gun Club Fire,7/24/2014,Merced,300,100%,2014
Sabina Fire,7/23/2014,Riverside,78,100%,2014
Iowa Fire,7/21/2014,Placer,14,100%,2014
Dark Hole Fire,7/16/2014,Mariposa,"1,080",100%,2014
Wildlife Fire,7/14/2014,Butte,72,100%,2014
Marsh Fire,7/11/2014,Contra Costa,80,100%,2014
Bully Fire,7/11/2014,Shasta,"12,661",100%,2014
Nicolls Fire,7/11/2014,Kern,"1,680",100%,2014
Bible Fire,7/9/2014,El Dorado,30,100%,2014
Dry Fire,7/9/2014,Shasta,143,100%,2014
Hutto Fire,7/7/2014,Nevada,38,100%,2014
Interlake Fire,7/7/2014,San Luis Obispo,47,100%,2014
Cassel Fire,7/5/2014,Shasta,75,100%,2014
Monticello Fire,7/4/2014,Yolo,"6,488",100%,2014
Gulch Fire,7/3/2014,Modoc,"1,469",100%,2014
Banner Fire,7/3/2014,San Diego,217,100%,2014
Modoc Lightning Complex,7/1/2014,Modoc,"1,651",100%,2014
Ranch Fire,7/1/2014,Kern,70,100%,2014
Butts Fire,7/1/2014,Napa and Lake,"4,300",100%,2014
West Fire,6/30/2014,Trinity,15,100%,2014
Curie Fire,6/30/2014,Santa Clara,125,100%,2014
Oak Fire,6/22/2014,Calaveras,85,100%,2014
Reed Fire,6/20/2014,Calaveras,120,100%,2014
Stoney Fire,6/19/2014,Monterey,"4,840",100%,2014
Shirley Fire,6/13/2014,Kern,"3,895",100%,2014
Tehama Fire,6/13/2014,Tehama,225,100%,2014
Norman Fire,6/12/2014,Solano,70,100%,2014
Hall Fire,6/11/2014,Fresno,25,100%,2014
Haigh Fire,6/10/2014,Mariposa,130,100%,2014
Morgan Fire,6/9/2014,Fresno,40,100%,2014
Bogart Fire,6/6/2014,Riverside,31,100%,2014
Valley Fire,6/6/2014,Mariposa,90,100%,2014
Hetch Hetchy Fire,6/5/2014,Tuolumne,269,100%,2014
Santa Fire,6/4/2014,Riverside,14,100%,2014
59 Fire,6/4/2014,Tuolumne,487,100%,2014
Lake Fire,5/27/2014,Stanislaus,37,100%,2014
Hunters Fire,5/26/2014,Mariposa,677,100%,2014
Indian Fire,5/25/2014,Lake,175,100%,2014
San Mateo Fire,5/16/2014,San Diego,"1,457",100%,2014
Pulgas Fire,5/15/2014,San Diego,"14,416",100%,2014
Freeway Fire,5/14/2014,San Diego,56,100%,2014
Cocos Fire,5/14/2014,San Diego,"1,995",100%,2014
Fiddler Fire,5/14/2014,Shasta,50,100%,2014
Highway Fire,5/14/2014,San Diego,380,100%,2014
River Fire,5/14/2014,San Diego,105,100%,2014
Poinsettia Fire,5/14/2014,San Diego,600,100%,2014
Tomahawk Fire,5/14/2014,San Diego,"5,367",100%,2014
Miguelito Fire,5/13/2014,Santa Barbara,632,100%,2014
Bernardo Fire,5/13/2014,San Diego,"1,548",100%,2014
Jacumba Fire,5/5/2014,San Diego,29,100%,2014
San Lucas Fire,4/30/2014,Monterey,75,100%,2014
Etiwanda Fire,4/30/2014,San Bernardino,"2,143",100%,2014
Bridges Fire,4/19/2014,Inyo,113,100%,2014
Van Buren Fire,3/28/2014,Riverside,57,100%,2014
Encinal Fire,3/19/2014,Monterey,400,100%,2014
Pierce Fire,3/15/2014,Riverside,350,100%,2014
Gun Fire,3/8/2014,San Diego,125,100%,2014
Lake Fire,1/24/2014,Fresno,106,100%,2014
Brewer Fire,1/22/2014,Placer,120,100%,2014
Colby Fire,1/15/2014,Los Angeles,"1,952",100%,2014
Red Fire,1/4/2014,Humboldt,333,100%,2014
Bridge Fire,1/3/2014,Humboldt,18,100%,2014
Campbell Fire,1/2/2014,Tehama,865,100%,2014
Honcut Fire,1/1/2014,Butte,60,100%,2014
Solimar Fire,12/25/2015,,"1,388",100%,2015
Banister Fire,11/11/2015,Ventura,29,100%,2015
Potrero Fire,11/6/2015,Ventura,50,100%,2015
Gibraltar Fire,10/28/2015,Santa Barbara,21,100%,2015
Cienega Fire,10/12/2015,San Benito,670,100%,2015
Military Fire,10/10/2015,Siskiyou,58,100%,2015
King Fire,10/9/2015,,36,100%,2015
Meridian Fire,10/3/2015,Butte,860,100%,2015
Munjar Fire,10/2/2015,Butte,104,100%,2015
McCourtney Fire,9/22/2015,Nevada,30,100%,2015
Laureles Fire,9/19/2015,Monterey,95,100%,2015
Tassajara Fire,9/19/2015,Monterey,"1,086",100%,2015
Valley Fire,9/12/2015,,"76,067",100%,2015
Walker Fire,9/11/2015,Shasta,109,100%,2015
Lumpkin Fire,9/11/2015,Butte,"1,042",100%,2015
Pacheco Fire,9/9/2015,Santa Clara,215,100%,2015
Creek Fire,9/9/2015,Fresno,170,100%,2015
Butte Fire,9/9/2015,,"70,868",100%,2015
Center Fire,9/9/2015,Lassen,40,100%,2015
Antelope Fire,9/9/2015,Kern,45,100%,2015
Browns Fire,9/8/2015,Trinity,35,100%,2015
Oak Fire,9/8/2015,Tuolumne,108,100%,2015
Tenaya Fire,9/7/2015,Mariposa,415,100%,2015
Apple Fire,9/3/2015,Sacramento,110,100%,2015
Elk Fire,9/2/2015,Lake,673,100%,2015
Olive Fire,9/2/2015,Butte,72,100%,2015
Kramer Fire,8/29/2015,Lassen,30,100%,2015
Democrat Fire,8/25/2015,Trinity,128,100%,2015
Grade Fire,8/24/2015,Lake,22,100%,2015
Summit Fire,8/23/2015,San Bernardino,55,100%,2015
Peterson Fire,8/22/2015,Lake,215,100%,2015
Prairie Fire,8/20/2015,Siskiyou,69,100%,2015
Flat Fire,8/20/2015,Kern,167,100%,2015
Tesla Fire,8/19/2015,Alameda,"2,700",100%,2015
Horse Fire,8/18/2015,Humboldt,146,100%,2015
Cuesta Fire,8/16/2015,San Luis Obispo,"2,446",100%,2015
Warm Fire,8/16/2015,Los Angeles,300,100%,2015
Lincoln Fire,8/16/2015,Los Angeles,374,100%,2015
Tulloch Fire,8/15/2015,Tuolumne,112,100%,2015
Walker Fire,8/14/2015,Mono,"3,676",100%,2015
Rustic Fire,8/14/2015,Ventura,186,100%,2015
Mark Fire,8/13/2015,Calaveras,114,100%,2015
Horno Fire,8/13/2015,San Diego,"1,850",100%,2015
Anza Fire,8/10/2015,Riverside,543,100%,2015
Jerusalem Fire,8/9/2015,Lake and Napa,"25,118",100%,2015
De Luz Fire,8/9/2015,San Diego,55,100%,2015
36 Fire,8/8/2015,Tehama,110,100%,2015
Francis Fire,8/3/2015,Yuba,30,100%,2015
Point Fire,8/3/2015,Shasta,59,100%,2015
Dodge Fire,8/3/2015,Lassen,"10,570",100%,2015
Chorro Fire,8/2/2015,Ventura,282,100%,2015
Fern Fire,8/1/2015,Shasta,75,100%,2015
Nickowitz Fire,8/1/2015,Del Norte,"7,509",100%,2015
White Fire,8/1/2015,Santa Barbara,52,100%,2015
Scales Fire,8/1/2015,San Bernardino,65,100%,2015
Creek Fire,7/31/2015,Merced,"1,450",100%,2015
Gasquet Complex,7/31/2015,Del Norte,"30,361",100%,2015
Rough Fire,7/31/2015,Fresno,"151,623",100%,2015
River Complex,7/30/2015,Trinity,"77,081",100%,2015
Fork Complex,7/30/2015,Trinity,"36,503",100%,2015
Frog Fire,7/30/2015,Modoc,"4,863",100%,2015
Humboldt Lightning Fires,7/30/2015,Humboldt,"4,883",100%,2015
South Complex,7/30/2015,Trinity,"29,416",100%,2015
Mad River Complex,7/30/2015,Trinity,,100%,2015
Mendocino National Forest Lightning Complex,7/30/2015,Mendocino,227,100%,2015
Mendocino Lightning Fires,7/30/2015,Mendocino,50,100%,2015
Sprig Fire,7/30/2015,Shasta,90,100%,2015
Advance Fire,7/30/2015,Tulare,86,100%,2015
Vasco Fire,7/30/2015,Contra Costa,195,100%,2015
China Fire,7/29/2015,Shasta,212,100%,2015
Big Creek Fire,7/29/2015,Tuolumne,204,100%,2015
Mallard Fire,7/29/2015,Shasta,75,100%,2015
Rocky Fire,7/29/2015,Lake,"69,438",100%,2015
Swedes Fire,7/29/2015,Butte,400,100%,2015
Buck Fire,7/28/2015,Humboldt,16,100%,2015
Sullivan Fire,7/28/2015,Stanislaus,40,100%,2015
Lowell Fire,7/25/2015,Nevada,"2,304",100%,2015
Willow Fire,7/25/2015,Madera,"5,702",100%,2015
Queen Fire,7/24/2015,Humboldt,158,100%,2015
Cutca Fire,7/24/2015,San Diego,167,100%,2015
Park Fire,7/24/2015,San Diego,25,100%,2015
3-12 Fire,7/23/2015,Modoc,77,100%,2015
3-11 Fire,7/23/2015,Modoc,116,100%,2015
Kyburz Fire,7/23/2015,El Dorado,75,100%,2015
Baxter Fire,7/22/2015,Placer,26,100%,2015
Wragg Fire,7/22/2015,,"8,051",100%,2015
Dorris Fire,7/21/2015,Siskiyou,24,100%,2015
Triple Fire,7/21/2015,Tulare,430,100%,2015
Betabel Fire,7/20/2015,San Benito,25,100%,2015
Cabin Fire,7/19/2015,Tulare,"6,980",100%,2015
McCabe Fire,7/18/2015,Merced,"1,333",100%,2015
Kerkhoff Fire,7/18/2015,Fresno,60,100%,2015
Pines Fire,7/17/2015,Los Angeles,200,100%,2015
North Fire,7/17/2015,San Bernardino,"4,250",100%,2015
Adventure Fire,7/16/2015,,100,100%,2015
Lake Fire,7/16/2015,San Diego,25,100%,2015
Cooley Fire,7/13/2015,Siskiyou,181,100%,2015
241 Fire,7/13/2015,Orange,214,100%,2015
Mill 2 Fire,7/12/2015,San Bernardino,54,100%,2015
Spider Fire,7/12/2015,Riverside,21,100%,2015
Ascot Fire,7/10/2015,Solano,40,100%,2015
Deer Fire,7/10/2015,San Luis Obispo,95,100%,2015
Mason Fire,7/9/2015,Modoc,43,100%,2015
Keswick Fire,7/7/2015,Shasta,18,100%,2015
Sky Fire,7/6/2015,Solano,150,100%,2015
Black Fire,7/4/2015,Tehama,170,100%,2015
Soda Fire,7/4/2015,Mendocino,23,100%,2015
Ranch Fire,7/3/2015,El Dorado,35,100%,2015
Buckaroo Fire,7/2/2015,El Dorado,25,100%,2015
Geary Fire,7/1/2015,Alameda,45,100%,2015
Ione Fire,7/1/2015,Amador,355,100%,2015
Merwin Fire,7/1/2015,Riverside,150,100%,2015
Webb Fire,7/1/2015,Butte,75,100%,2015
Shinn Fire,6/30/2015,Lassen,111,100%,2015
Highway Fire,6/30/2015,Santa Clara,42,100%,2015
Mesa Fire,6/29/2015,Santa Barbara,211,100%,2015
Covelo Fire,6/28/2015,Mendocino,35,100%,2015
Pleasure Fire,6/27/2015,Napa,19,100%,2015
Otay Fire,6/26/2015,San Diego,80,100%,2015
Sterling Fire,6/25/2015,San Bernardino,100,100%,2015
Tesla Fire,6/25/2015,Alameda,53,100%,2015
Loma Fire,6/24/2015,,533,100%,2015
Calgrove Fire,6/24/2015,Los Angeles,415,100%,2015
River Fire,6/22/2015,Ventura,164,100%,2015
Red Fire,6/21/2015,Madera,135,100%,2015
Park Hill Fire,6/20/2015,San Luis Obispo,"1,791",100%,2015
Washington Fire,6/19/2015,Alpine,,100%,2015
Dixie Fire,6/19/2015,Lassen,60,100%,2015
Corrine Fire,6/18/2015,Madera,920,100%,2015
Sky Fire,6/18/2015,Madera,500,100%,2015
Grapefruit Fire,6/18/2015,Riverside,60,100%,2015
Collier Fire,6/18/2015,San Joaquin,122,100%,2015
Cook Fire,6/18/2015,Yuba,158,100%,2015
Triangle Fire,6/18/2015,Mariposa,60,100%,2015
Wildcat Fire,6/17/2015,San Diego,171,100%,2015
Lake Fire,6/17/2015,San Bernardino,"31,359",100%,2015
Fork Fire,6/17/2015,Tehama,55,100%,2015
North Fire,6/16/2015,Amador,60,100%,2015
Chiles Fire,6/16/2015,Napa,38,100%,2015
Pass Fire,6/15/2015,Kern,67,100%,2015
Saddle Fire,6/10/2015,Trinity,"1,542",100%,2015
Bald Fire,6/10/2015,Humboldt,20,100%,2015
Garage Fire,6/9/2015,Napa,36,100%,2015
Riosa Fire,6/8/2015,Placer,110,100%,2015
Fox Fire,6/7/2015,Mariposa,25,100%,2015
Site Fire,6/5/2015,Alameda,300,100%,2015
Oasis Fire,6/5/2015,Lake,25,100%,2015
FKU Lightning Fires,6/5/2015,Fresno,45,100%,2015
Snow Fire,6/5/2015,Riverside,25,100%,2015
Harrison Fire,6/1/2015,Riverside,80,100%,2015
Christensen Fire,5/28/2015,Alameda,242,100%,2015
Forebay Fire,5/11/2015,Merced,275,100%,2015
Highway Fire,4/18/2015,Riverside,"1,049",100%,2015
Ward Fire,4/12/2015,Plumas,137,100%,2015
Stephens Fire,2/24/2015,Siskiyou,200,100%,2015
Van Dyke Fire,2/6/2015,Mono,509,100%,2015
Round Fire,2/6/2015,Inyo and Mono,"7,000",100%,2015
Marek Fire,11/13/2016,Los Angeles,"4,824",100%,2016
Gopher Fire,11/13/2016,San Diego,28,100%,2016
Meadow Fire,10/29/2016,Tulare,"4,347",100%,2016
Jacobson Fire,10/20/2016,Tulare,10,100%,2016
Emerald Fire,10/13/2016,El Dorado,176,100%,2016
Sacata Fire,10/11/2016,Fresno,"2,100",100%,2016
Creek Fire,10/10/2016,Napa,65,100%,2016
Loma Fire,9/26/2016,Santa Clara,"4,474",100%,2016
Tobin Fire,9/26/2016,Plumas,248,100%,2016
Marshes Fire,9/26/2016,Tuolumne,"1,080",100%,2016
Sawmill Fire,9/25/2016,Sonoma,"1,547",100%,2016
Cow Fire,9/25/2016,Shasta,100,100%,2016
Bell Fire,9/23/2016,Amador,45,100%,2016
Newmark Fire,9/23/2016,Fresno,70,100%,2016
Washington Fire,9/22/2016,Santa Barbara,215,100%,2016
Bangor Fire,9/22/2016,Butte,130,100%,2016
Butte Fire,9/20/2016,Sutter,300,100%,2016
Flat Fire,9/19/2016,Kern,306,100%,2016
Canyon Fire,9/17/2016,Santa Barbara,"12,518",100%,2016
Soup Complex,9/17/2016,Modoc,"2,652",100%,2016
Owens River Fire,9/17/2016,Inyo,"5,443",100%,2016
Auburn Fire,9/17/2016,Nevada,47,100%,2016
Old Fire,9/16/2016,Butte,30,100%,2016
Hog Fire,9/13/2016,Tehama,360,100%,2016
Old Fire,9/13/2016,Del Norte,150,100%,2016
Moffett Fire,9/12/2016,Siskiyou,32,100%,2016
Howard Fire,9/11/2016,Modoc,380,100%,2016
Willard Fire,9/11/2016,Lassen,"2,575",100%,2016
Boys Fire,9/11/2016,Sacramento,40,100%,2016
Lake Fire,9/10/2016,Shasta,75,100%,2016
Ruff Fire,9/10/2016,Mendocino,50,100%,2016
Spring Fire,9/7/2016,San Bernardino,50,100%,2016
Phoenix Fire,9/7/2016,Nevada,38,100%,2016
Saddle Fire,9/5/2016,Butte,850,100%,2016
Ken Fire,9/3/2016,San Bernardino,20,100%,2016
Sunny Fire,9/3/2016,Fresno,158,100%,2016
Oak Fire,9/1/2016,Santa Clara,25,100%,2016
Holy Fire,8/30/2016,Orange,150,100%,2016
Mockingbird Fire,8/30/2016,Lake,20,100%,2016
Willow Fire,8/30/2016,Amador,19,100%,2016
Mina Fire,8/30/2016,Mendocino,36,100%,2016
Bogart Fire,8/30/2016,Riverside,"1,470",100%,2016
Havilah Fire,8/28/2016,Kern,304,100%,2016
Evergreen Fire,8/28/2016,Riverside,40,100%,2016
Willow Fire,8/28/2016,Calaveras,450,100%,2016
Gap Fire,8/27/2016,Siskiyou,"33,867",100%,2016
Santos Fire,8/26/2016,Butte,88,100%,2016
Range Fire,8/26/2016,Kern,518,100%,2016
Grade Fire,8/24/2016,Siskiyou,710,100%,2016
Tule Fire,8/22/2016,Tulare,395,100%,2016
Tully Fire,8/22/2016,Humboldt,599,100%,2016
Bird Fire,8/20/2016,San Joaquin,147,100%,2016
